"noaa","name","year","origin","destination","count"
"GHCND:USC00020287","ANVIL RANCH, AZ","1968","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1969","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1970","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1971","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1972","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1973","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1974","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1975","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1976","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1977","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1978","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1979","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1980","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1981","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1982","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1983","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1984","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1985","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1986","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1987","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1988","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1989","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1990","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1991","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1992","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1993","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1994","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1995","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1996","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1997","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1998","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1999","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2000","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2001","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2002","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2003","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2004","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2005","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2006","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","2007","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2002","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2003","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2004","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2005","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2006","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020288","APACHE JUNCTION 5 NE, AZ","2007","GHCND:USC00020288","GHCND:USC00020288","1"
"GHCND:USC00020586","BAGDAD, AZ","1945","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1946","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1947","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1948","GHCND:USC00020586","GHCND:USC00020586","1"
